Y_t,C_t,I_t,P_t,deltaK_t
4904.9,2913.9,855,1.99E+05,312
5145.9,3081.8,890,2.01E+05,330
5306.6,3196.7,914,2.03E+05,350
5316.4,3272,857,2.05E+05,367
5491.4,3396.9,904,2.08E+05,384
5780,3605,974,2.10E+05,404
6106.4,3783.4,1062,2.12E+05,431
6073.4,3751.7,1011,2.14E+05,454
6060.9,3836.7,885,2.16E+05,471
6387.4,4050.6,1018,2.18E+05,488
6682.8,4221.8,1130,2.20E+05,510
7052.7,4406.5,1251,2.23E+05,538
7276,4511.3,1299,2.25E+05,569
7257.3,4497.2,1199,2.28E+05,597
7441.5,4559.6,1280,2.30E+05,621
7307.3,4626.3,1150,2.32E+05,647
7642.3,4888.2,1249,2.34E+05,668
8195.3,5145.4,1546,2.36E+05,696
8537,5411.8,1583,2.39E+05,735
8832.6,5635.2,1612,2.41E+05,770
9137.7,5826.1,1668,2.43E+05,806
9519.4,6069.4,1696,2.45E+05,840
9869,6246.4,1758,2.47E+05,875
10055.1,6372.2,1740,2.50E+05,908
10044.2,6383.7,1648,2.54E+05,935
10398,6618.6,1739,2.57E+05,961
10684.2,6849.2,1833,2.60E+05,994
11114.6,7114.5,1998,2.63E+05,1035
11413,7324.5,2055,2.67E+05,1086
11843.6,7578.6,2211,2.70E+05,1143
12370.3,7864,2421,2.73E+05,1213
12924.9,8281.7,2631,2.76E+05,1297
13543.8,8727.3,2840,2.79E+05,1392
14096,9166.9,3013,2.82E+05,1492
14230.7,9393.9,2893,2.85E+05,1576
14472.7,9632.8,2907,2.88E+05,1636
14877.3,9937.6,3027,2.91E+05,1690
15449.8,10312.2,3263,2.93E+05,1754
15988,10677.4,3446,2.96E+05,1828
16433.1,10986.8,3552,2.99E+05,1908
16762.4,11253.9,3494,3.02E+05,1986
16781.5,11270.7,3275,3.05E+05,2049
16349.1,11123.6,2735,3.07E+05,2078
16789.8,11335.6,3019,3.10E+05,2096
17052.4,11528.5,3148,3.12E+05,2136
17442.8,11686.1,3391,3.15E+05,2197
17812.2,11889.9,3567,3.17E+05,2270
18261.7,12226.4,3751,3.20E+05,2350
18799.6,12638.8,3966,3.22E+05,2431
19141.7,12949,3981,3.25E+05,2514
19612.1,13290.6,4149,3.27E+05,2599
20193.9,13654.9,4380,3.29E+05,2694
20692.1,13928.3,4520,3.31E+05,2795
20234.1,13577,4374,3.32E+05,2881
21407.7,14718.2,4664,3.32E+05,2967
21822,15090.8,4843,3.34E+05,3067
