I_t,deltaK_t,Y_t,C_t
822.5,433,4355.2,2585.6
855.6,456.7,4569,2734
878.7,480.6,4712.5,2836.2
824.5,501.5,4722,2903
869.4,518.9,4877.6,3013.8
937.4,538.7,5134.3,3198.7
1021.4,566,5424.1,3357.2
972.3,590.4,5396,3329.5
851.1,609.4,5385.4,3405.1
978,628.2,5675.4,3595
1085.5,652.8,5937,3746.5
1201.6,682.5,6267.2,3911.2
1247.8,716.9,6466.2,4004.1
1151.8,749.2,6450.4,3991.5
1229.6,778.3,6617.7,4050.8
1099.6,808.8,6491.3,4108.4
1195.5,836.4,6792,4342.6
1479.8,872.6,7285,4571.6
1515.4,921.2,7593.8,4811.9
1542.3,968.1,7860.5,5014
1596.6,1014.9,8132.6,5183.6
1624.2,1058.9,8474.5,5400.5
1683.2,1103,8786.4,5558.1
1666,1144.9,8955,5672.6
1578.2,1179,8948.4,5685.6
1665.7,1210.3,9266.6,5896.5
1755.5,1247,9521,6101.4
1914.2,1289.7,9905.4,6338
1969.5,1341.1,10174.8,6527.6
2119.6,1399.3,10561,6755.6
2325,1470,11034.9,7009.9
2519.9,1555.7,11525.9,7384.7
2721.6,1653.4,12065.9,7775.9
2883,1755.4,12559.7,8170.7
2757.9,1841.9,12682.2,8382.6
2775.1,1905.1,12908.8,8598.8
2885.5,1963.9,13271.1,8867.6
3100.9,2032.6,13773.5,9208.2
3264.8,2111,14234.2,9531.8
3340.6,2194.4,14613.8,9821.7
3266.6,2274.6,14873.7,10041.6
3038.4,2338.4,14830.4,10007.2
2525.1,2368.4,14418.7,9847
2766.3,2382.4,14783.8,10036.3
2845.8,2412.9,15020.6,10263.5
3042.9,2458.4,15354.6,10413.2
3124.6,2511.4,15583.3,10590.4
3257.4,2567.1,15961.7,10875.7
