serial,wage,nonlaborinc,hoursworked
21,11.538462,22000,520
34,1.875,22259,240
35,45.454544,34722,2200
38,20.614346,46808,1924
51,19.23077,37953,2080
53,37.606838,29048,2340
54,20.673077,0,2080
55,18.333334,27001,480
64,24.038462,56970,2080
65,9.2986107,76188,432
67,18.376068,0,2340
76,17.307692,5361,2080
83,0,72100,2080
84,15.384615,0,2080
87,16.826923,28001,2080
101,0,65420,2080
108,23.428572,48797,1750
119,8.1730766,0,2080
120,9.6153851,8002,2080
125,10.576923,12,2080
126,11.217949,10,1248
129,12.019231,0,2080
130,18.376068,0,2340
131,35,6330,2000
133,0,52000,2080
143,17.514423,389,2080
150,0,72000,1760
159,0,15002,1040
160,8.9743586,3868,780
161,41.836735,1,1960
165,21.392857,0,1344
166,9.5238094,62307,630
167,11.505682,51920,1760
174,10.9375,837,960
175,22.923077,58650,2600
188,24.038462,50026,2080
191,0,64602,2080
210,19.23077,23379,2080
214,19.23077,130000,2080
217,13.461538,0,2600
220,15.865385,0,2080
221,8.4134617,0,1664
222,11.111111,8111,900
223,25.641026,10015,2340
241,10.35503,34956,3380
283,19.23077,25020,2080
300,.64102566,49679,3120
309,0,50006,3120
325,23.076923,20640,2600
327,13.888889,439,1728
330,15.934066,0,1820
335,16.346153,8712,1040
337,8.6538458,0,2080
339,34.615383,50073,2080
343,35.470085,21137,2340
350,21.634615,6004,2080
353,11.057693,69424,2080
354,14.685315,48332,2860
357,9.6153851,31114,1560
358,23.125,5000,1600
361,16.02564,71006,3120
366,14.423077,10,2080
371,20.833334,101868,3120
373,19.23077,9,2080
375,18.75,0,800
382,22.139423,2629,2080
384,16.826923,4,2080
387,21.153847,170,2600
389,36.819229,40652,1820
400,8.6538458,20002,2080
401,28.365385,50075,2080
402,13.461538,10000,1040
403,16.826923,7626,2080
406,33.658173,10,2080
408,19.23077,48051,2340
409,11.9,4165,1000
410,23.076923,40000,2600
412,19.711538,45977,2080
413,28.632479,15852,2340
415,52.884617,6501,2080
435,7.8076925,10400,1040
441,26.923077,44044,2600
453,3.3653846,1404,2080
454,111.11111,8670,1800
458,25,29,2080
460,19.23077,15,2080
464,28.846153,36113,2080
470,18.452381,3176,3360
472,14.423077,0,2080
475,8.136095,28339,1352
487,11.057693,8802,2080
491,27.777779,23044,2340
496,8.333333,4210,6
498,8.2321424,500,1400
499,12.980769,24450,2080
500,4.6875,62505,1920
501,25.641026,45022,2496
502,28.415615,3085,3484
505,28.846153,60006,2080
508,21.367521,3042,2340
514,15.625,18760,960
516,27.884615,12567,2080
519,13.125,0,2080
521,23.076923,30,2600
527,28.649921,90225,2548
528,16.02564,97025,1560
532,16.02564,131709,2496
533,0,62003,1617
534,17.211538,2,2080
535,5.4945054,0,3640
537,136.52499,10499,120
538,36.057693,147945,1664
539,30.594406,111892,2288
540,16.153847,38809,2600
541,24.038462,14103,2080
544,52.884617,54831,2080
545,0,11434,1248
